time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
31,ga_timing_plan,407,232,175,40.7,10004,189660.0,34,3.4,1922,59760.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
32,ga_timing_plan,449,265,184,44.9,10320,216600.0,31,3.1,1979,61620.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
33,ga_timing_plan,467,278,189,46.7,10641,244620.0,29,2.9,2040,63360.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
34,ga_timing_plan,498,296,202,49.8,10961,274500.0,25,2.5,2099,64860.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
35,ga_timing_plan,537,326,211,53.7,11289,306720.0,31,3.1,2153,66720.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
36,ga_timing_plan,570,353,217,57.0,11615,340920.0,30,3.0,2209,68520.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
37,ga_timing_plan,594,353,241,59.4,11946,376560.0,27,2.7,2275,70140.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
38,ga_timing_plan,628,383,245,62.8,12280,414240.0,26,2.6,2331,71700.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
39,ga_timing_plan,622,371,251,62.2,12603,451560.0,30,3.0,2381,73500.0,1,5,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,1200,180
40,ga_timing_plan,665,409,256,66.5,12923,491460.0,24,2.4,2447,74940.0,1,6,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
41,ga_timing_plan,669,404,265,66.9,13260,531600.0,35,3.5,2494,77040.0,1,4,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
42,ga_timing_plan,713,438,275,71.3,13581,574380.0,23,2.3,2571,78420.0,1,6,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
43,ga_timing_plan,761,467,294,76.1,13908,620040.0,44,4.4,2626,81060.0,1,4,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
44,ga_timing_plan,799,498,301,79.9,14233,667980.0,25,2.5,2698,82560.0,1,6,26.687623475175286,1,23.312376524824714,0,0,-1,0.0,0,0,180
45,ga_timing_plan,948,580,368,94.8,14570,724860.0,36,3.6,2746,84720.0,1,4,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
46,ga_timing_plan,1112,686,426,111.2,14885,791580.0,20,2.0,2822,85920.0,1,7,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
47,ga_timing_plan,1327,834,493,132.7,15221,871200.0,33,3.3,2870,87900.0,1,4,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
48,ga_timing_plan,1551,973,578,155.1,15543,964260.0,30,3.0,2938,89700.0,1,6,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
