model_type,model_name,validation_mae,validation_rmse,validation_r2,params
random_forest,RandomForestRegressor,3.39279885157465,4.192710429008716,0.46545199740559384,"{'n_estimators': 120, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
random_forest,RandomForestRegressor,3.391663009592155,4.202209831091793,0.4630270081458955,"{'n_estimators': 60, 'max_depth': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
random_forest,RandomForestRegressor,3.785230094574569,4.6340900623803565,0.3469808557153219,"{'n_estimators': 80, 'max_depth': 12, 'min_samples_leaf': 5, 'max_features': 0.8}"
random_forest,RandomForestRegressor,4.077637332553985,4.978628603475687,0.24626890312666194,"{'n_estimators': 120, 'max_depth': 12, 'min_samples_leaf': 3, 'max_features': 0.8}"
hist_gradient_boosting,HistGradientBoostingRegressor,5.563019035790242,7.079920694742206,-0.5242414219510885,"{'max_iter': 120, 'learning_rate': 0.08, 'max_leaf_nodes': 31, 'min_samples_leaf': 15, 'l2_regularization': 0.0}"
hist_gradient_boosting,HistGradientBoostingRegressor,5.695275586559058,7.283562747025789,-0.6131869702914741,"{'max_iter': 150, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 0.01}"
hist_gradient_boosting,HistGradientBoostingRegressor,5.819329915074865,7.495020277137365,-0.7082152625230598,"{'max_iter': 100, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 0.0}"
hist_gradient_boosting,HistGradientBoostingRegressor,5.9140061887913955,7.604069951782401,-0.7582846326678969,"{'max_iter': 180, 'learning_rate': 0.03, 'max_leaf_nodes': 63, 'min_samples_leaf': 20, 'l2_regularization': 0.01}"
