time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,avg_ew_green
42,fixed_calibrated,650,324,326,65.0,13644,522720.0,509,50.9,2085,854820.0,1,4,29.084070973498303,20.915929026501697
43,fixed_calibrated,680,340,340,68.0,13989,563520.0,570,57.0,2100,889020.0,1,1,29.084070973498303,20.915929026501697
44,fixed_calibrated,718,362,356,71.8,14314,606600.0,548,54.8,2175,921900.0,1,5,29.084070973498303,20.915929026501697
45,fixed_calibrated,871,439,432,87.1,14647,658860.0,547,54.7,2235,954720.0,1,4,29.084070973498303,20.915929026501697
46,fixed_calibrated,996,520,476,99.6,15001,718620.0,592,59.2,2250,990240.0,1,1,29.084070973498303,20.915929026501697
47,fixed_calibrated,1220,665,555,122.0,15328,791820.0,578,57.8,2325,1024920.0,1,5,29.084070973498303,20.915929026501697
48,fixed_calibrated,1433,787,646,143.3,15661,877800.0,583,58.3,2385,1059900.0,1,4,29.084070973498303,20.915929026501697
49,fixed_calibrated,1590,882,708,159.0,16015,973200.0,626,62.6,2400,1097460.0,1,1,29.084070973498303,20.915929026501697
50,fixed_calibrated,1848,1016,832,184.8,16334,1084080.0,611,61.1,2475,1134120.0,1,5,29.084070973498303,20.915929026501697
51,fixed_calibrated,2060,1132,928,206.0,16661,1207680.0,604,60.4,2535,1170360.0,1,4,29.084070973498303,20.915929026501697
52,fixed_calibrated,2237,1222,1015,223.7,17007,1341900.0,660,66.0,2550,1209960.0,1,1,29.084070973498303,20.915929026501697
53,fixed_calibrated,2451,1344,1107,245.1,17326,1488960.0,642,64.2,2625,1248480.0,1,5,29.084070973498303,20.915929026501697
54,fixed_calibrated,2615,1428,1187,261.5,17653,1645860.0,644,64.4,2685,1287120.0,1,4,29.084070973498303,20.915929026501697
55,fixed_calibrated,2869,1576,1293,286.9,17999,1818000.0,679,67.9,2700,1327860.0,1,1,29.084070973498303,20.915929026501697
56,fixed_calibrated,3077,1680,1397,307.7,18318,2002620.0,666,66.6,2775,1367820.0,1,5,29.084070973498303,20.915929026501697
57,fixed_calibrated,3275,1764,1511,327.5,18645,2199120.0,673,67.3,2835,1408200.0,1,4,29.084070973498303,20.915929026501697
58,fixed_calibrated,3465,1856,1609,346.5,18991,2407020.0,722,72.2,2850,1451520.0,1,1,29.084070973498303,20.915929026501697
