model,MAE,RMSE,R2,selected,params
RandomForestRegressor,2.251445383630172,2.7842711729632694,-0.009086395983253892,True,"{'n_estimators': 120, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
HistGradientBoostingRegressor,2.321157696846494,2.849966559687144,-0.0572673428557231,False,"{'max_iter': 120, 'learning_rate': 0.08, 'max_leaf_nodes': 31, 'min_samples_leaf': 15, 'l2_regularization': 0.0}"
HistoricalAverage,2.893089488636363,3.496843201869872,-0.5916867735723976,False,{}
