controller,avg_wait_seconds,throughput,final_queue,max_queue,avg_queue,pedestrian_avg_wait_seconds,pedestrian_target_met,emergency_delay_seconds,improvement_vs_fixed_equal_pct
ga,378.0290642877496,43390,2233,6051,2395.391666666667,174.40076965365586,1,0.0,22.01210595286221
scipy_mpc,398.17022116037964,43154,2469,6282,2523.016666666667,174.40076965365586,1,0.0,17.856958752397716
adaptive,404.386822436052,43090,2533,6376,2562.4083333333333,174.40076965365586,1,0.0,16.57446571833989
fixed_calibrated,416.3610459636587,42966,2657,6497,2638.2833333333333,174.40076965365586,1,0.0,14.104167627564234
fixed_equal,484.7278784823444,41428,4195,6864,3071.491666666667,174.40076965365586,1,0.0,0.0
